date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:55	50212/50212	---MCZ	200	added ('OK')	text/html	etag:W/%2277ad23294652fe49052cd7e63390483c%22	https://www.trentstudents.org/about-us/recruitment_amal_test	C:/Users/amalb/OneDrive/Documents/makeSUgr8/work%20for%20us/random/www.trentstudents.org/about-us/recruitment_amal_test.html	(from )
16:28:55	231/231	---M--	200	added ('OK')	text/plain	etag:%22e7-60f450ee03a40%22	https://www.trentstudents.org/robots.txt		(from )
16:28:55	310/310	---MC-	403	error ('Forbidden')	application/xml	date:Fri,%2014%20Feb%202025%2016:28:56%20GMT	https://s3-eu-west-1.amazonaws.com/nusdigital/image/images/181487/original/NTSU-logo-White-Lozenge-CMYK-facebook.png	C:/Users/amalb/OneDrive/Documents/makeSUgr8/work%20for%20us/random/s3-eu-west-1.amazonaws.com/nusdigital/image/images/181487/original/NTSU-logo-White-Lozenge-CMYK-facebook.1.delayed	(from https://www.trentstudents.org/about-us/recruitment_amal_test)
16:28:56	18457/18457	---MCZ	200	added ('OK')	text/css	etag:W/%224819-criQXTOEUMswQshW5fQ6kvNDoZo%22	https://cdn.jsdelivr.net/npm/swiper/swiper-bundle.min.css	C:/Users/amalb/OneDrive/Documents/makeSUgr8/work%20for%20us/random/cdn.jsdelivr.net/npm/swiper/swiper-bundle.min.css	(from https://www.trentstudents.org/about-us/recruitment_amal_test)
16:28:56	9/9	---M--	403	error ('Forbidden')	text/html	date:Fri,%2014%20Feb%202025%2016:28:57%20GMT	https://kit.fontawesome.com/64e7e96185.js	C:/Users/amalb/OneDrive/Documents/makeSUgr8/work%20for%20us/random/kit.fontawesome.com/64e7e96185.3.delayed	(from https://www.trentstudents.org/about-us/recruitment_amal_test)
16:28:56	205889/205889	---MCZ	200	added ('OK')	application/javascript	etag:W/%2232441-uTOisoVBnJE0Fs8r7OHSgA4blcY%22	https://cdn.jsdelivr.net/npm/chart.js	C:/Users/amalb/OneDrive/Documents/makeSUgr8/work%20for%20us/random/cdn.jsdelivr.net/npm/chart.js	(from https://www.trentstudents.org/about-us/recruitment_amal_test)
16:28:58	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Feb%202025%2016:28:57%20GMT	http://cdn.jsdelivr.net/gh/kenwheeler/slick@1.8.1/slick/slick-theme.css	C:/Users/amalb/OneDrive/Documents/makeSUgr8/work%20for%20us/random/cdn.jsdelivr.net/gh/kenwheeler/slick@1.8.1/slick/slick-theme.6.delayed	(from https://www.trentstudents.org/about-us/recruitment_amal_test)
16:28:58	12893/12893	---MCZ	200	added ('OK')	application/javascript	etag:W/%22325d-1i0VSGXusgtTUcM/0yw5Uhk84/4%22	https://cdn.jsdelivr.net/npm/chartjs-plugin-datalabels@2.0.0/dist/chartjs-plugin-datalabels.min.js	C:/Users/amalb/OneDrive/Documents/makeSUgr8/work%20for%20us/random/cdn.jsdelivr.net/npm/chartjs-plugin-datalabels@2.0.0/dist/chartjs-plugin-datalabels.min.js	(from https://www.trentstudents.org/about-us/recruitment_amal_test)
16:28:59	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Feb%202025%2016:28:59%20GMT	http://cdn.jsdelivr.net/gh/kenwheeler/slick@1.8.1/slick/slick.css	C:/Users/amalb/OneDrive/Documents/makeSUgr8/work%20for%20us/random/cdn.jsdelivr.net/gh/kenwheeler/slick@1.8.1/slick/slick.css	(from https://www.trentstudents.org/about-us/recruitment_amal_test)
16:28:59	3145/3145	---MCZ	200	added ('OK')	text/css	etag:W/%22c49-gaQ0+U8rESTzIyu4bylE+C+yOsA%22	https://cdn.jsdelivr.net/gh/kenwheeler/slick@1.8.1/slick/slick-theme.css	C:/Users/amalb/OneDrive/Documents/makeSUgr8/work%20for%20us/random/cdn.jsdelivr.net/gh/kenwheeler/slick@1.8.1/slick/slick-theme.css	(from https://www.trentstudents.org/about-us/recruitment_amal_test)
16:28:59	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/gh/kenwheeler/slick@1.8.1/slick/slick.css	C:/Users/amalb/OneDrive/Documents/makeSUgr8/work%20for%20us/random/cdn.jsdelivr.net/gh/kenwheeler/slick@1.8.1/slick/slick.css	(from https://www.trentstudents.org/about-us/recruitment_amal_test)
16:28:59	512843/512843	---MCZ	200	added ('OK')	text/css	etag:W/%22c98f73f8c06a589d41cc96afcb528a9e%22	https://assets.unioncloud.org/assets/application_student_view-c7a2dd41b04bd923530659f295bd646e8ebf9f402dde70f18073a0bcc1fd6bce.css	C:/Users/amalb/OneDrive/Documents/makeSUgr8/work%20for%20us/random/assets.unioncloud.org/assets/application_student_view-c7a2dd41b04bd923530659f295bd646e8ebf9f402dde70f18073a0bcc1fd6bce.css	(from https://www.trentstudents.org/about-us/recruitment_amal_test)
